conference	authors	title	year	DOI
IEEE Congress on Evolutionary Computation	Piotr Dziurzanski, Simos Gerasimou, Dimitris Kolovos, and Nicholas Matragkas	Empirical Analysis of 1-edit Degree Patches in Syntax-Based Automatic Program Repair	2020	10.1109/cec48606.2020.9185913
Tech. rep. 2007.06986. arXiv	Khashayar Etemadi, Niloofar Tarighat, Siddharth Yadav, Matias Martinez, and Martin Monperrus	Longitudinal Analysis of the Applicability of Program Repair on Past Commits	2020	NOT_FOUND
PhD thesis. Università Degli Studi Di Milano-Bicocca	Davide Ginelli	Understanding and Improving Automatic Program Repair: A Study of Code-removal Patches and a New Exception-driven Fault Localization Approach	2020	NOT_FOUND
arXiv preprint arXiv:2012.06264	Davide Ginelli, Matias Martinez, Leonardo Mariani, and Martin Monperrus	A Comprehensive Study of Code-removal Patches in Automated Program Repair	2020	NOT_FOUND
Advances in Neural Information Processing Systems	Kavi Gupta, Peter Ebert Christensen, Xinyun Chen, and Dawn Song	Synthesize, execute and debug: Learning to repair for neural program synthesis	2020	NOT_FOUND
Proceedings of the 11th ACM Symposium on Cloud Computing	Jingzhu He, Ting Dai, Xiaohui Gu, and Guoliang Jin	HangFix: automatically fixing software hang bugs for production cloud systems	2020	10.1145/3419111.3421288
Proceedings of ICSE	Seongjoon Hong, Junhee Lee, Jeongsoo Lee, and Hakjoo Oh	SAVER: Scalable, Precise, and Safe Memory-Error Repair	2020	10.1145/3377811.3380323
arXiv preprint arXiv:2001.11367	Shan Huang, Xiao Zhou, and Sang Chin	A Study of Pyramid Structure for Code Correction	2020	NOT_FOUND
IEEE Transactions on Reliability	Mingyue Jiang, Tsong Yueh Chen, Zhi Quan Zhou, and Zuohua Ding	Input Test Suites for Program Repair: A Novel Construction Method Based on Metamorphic Relations	2020	NOT_FOUND
PhD thesis. University of Luxembourg	Anil Koyuncu	Boosting Automated Program Repair for Adoption By Practitioners	2020	NOT_FOUND
arXiv preprint arXiv:2011.13280	Anil Koyuncu, Tegawendé F Bissyandé, Jacques Klein, and Yves Le Traon	FlexiRepair: Transparent Program Repair with Generic Patches	2020	NOT_FOUND
Empirical Software Engineering Journal, Springer Verlag	Anil Koyuncu, Kui Liu, Tegawendé F. Bissyandé, Dongsun Kim, Jacques Klein, Martin Monperrus, and Yves Le Traon	FixMiner: Mining Relevant Fix Patterns for Automated Program Repair	2020	10.1007/s10664-019-09780-z
Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering	Yi Li, Shaohua Wang, and Tien N Nguyen	DLfix: Context-based code transformation learning for automated program repair	2020	10.1145/3377811.3380345
Proceedings of APSEC	Bo Lin, Shangwen Wang, Ming Wen, Zhang Zhang, Hongjun Wu, Yihao Qin, and Xiaoguang Mao	Understanding the Non-Repairability Factors of Automated Program Repair Techniques	2020	10.1109/apsec51365.2020.00015
Proceedings of ICSE	Kui Liu, Shangwen Wang, Anil Koyuncu, Kisub Kim, Tegawendé F Bissyandé, Dongsun Kim, Peng Wu, Jacques Klein, Xiaoguang Mao, and Yves Le Traon	On the Efficiency of Test Suite based Program Repair	2020	10.1145/3377811.3380338
Proceedings of ISSTA	Thibaud Lutellier, Hung Viet Pham, Lawrence Pang, Yitong Li, Moshi Wei, and Lin Tan	CoCoNuT: Combining Context-Aware Neural Translation Models using Ensemble for Program Repair	2020	10.1145/3395363.3397369
IEEE Transactions on Software Engineering	M. Motwani, M. Soto, Y. Brun, R. Just, and C. Le Goues	Quality of Automated Program Repair on Real-World Defects	2020	NOT_FOUND
arXiv preprint arXiv:2011.08340	Manish Motwani and Yuriy Brun	Automatically Repairing Programs Using Both Tests and Bug Reports	2020	NOT_FOUND
27th International Conference on Software Analysis, Evolution and Reengineering (SANER)	Kunihiro Noda, Yusuke Nemoto, Keisuke Hotta, Hideo Tanida, and Shinji Kikuchi	Experience Report: How Effective is Automated Program Repair for Industrial Software?	2020	10.1109/saner48275.2020.9054829
IEEE Transactions on Software Engineering	Minxue Pan, Tongtong Xu, Yu Pei, Zhong Li, Tian Zhang, and Xuandong Li	GUI-Guided Test Script Repair for Mobile Apps	2020	10.1109/tse.2020.3007664
PhD thesis. Technion Israel Institute of Technology, Israel	Bat-Chen Rothenberg	Formal Automated Program Repair	2020	NOT_FOUND
Proceedings of the 41st ACM SIGPLAN Conference on Programming Language Design and Implementation	Georgios Sakkas, Madeline Endres, Benjamin Cosman, Westley Weimer, and Ranjit Jhala	Type error feedback via analytic program repair	2020	NOT_FOUND
Proceedings of ASE	Haoye Tian, Kui Liu, Abdoul Kader Kaboreé, Anil Koyuncu, Li Li, Jacques Klein, and Tegawendé F Bissyandé	Evaluating representation learning of code changes for predicting patch correctness in program repair	2020	NOT_FOUND
arXiv preprint arXiv:2005.11040	Yuki Ueda, Takashi Ishio, Akinori Ihara, and Kenichi Matsumoto	DevReplay: Automatic Repair with Editable Fix Pattern	2020	NOT_FOUND
Proceedings of ASE	Shangwen Wang, Ming Wen, Bo Lin, Hongjun Wu, Yihao Qin, Deqing Zou, Xiaoguang Mao, and Hai Jin	Automated Patch Correctness Assessment: How Far are We?	2020	10.1145/3324884.3416590
Proceedings of the 28th International Conference on Program Comprehension	Liwei Wu, Fei Li, Youhua Wu, and Tao Zheng	GGF: A Graph-based Method for Programming Language Syntax Error Correction	2020	NOT_FOUND
IEEE Transactions on Software Engineering	Tongtong Xu, Liushan Chen, Yu Pei, Tian Zhang, Minxue Pan, and Carlo Alberto Furia	Restore: Retrospective fault localization enhancing automated program repair	2020	NOT_FOUND
IEEE 2nd International Workshop on Intelligent Bug Fixing (IBF)	Bo Yang and Jinqiu Yang	Exploring the Differences between Plausible and Correct Patches at Fine-Grained Level	2020	10.1109/ibf50092.2020.9034821
arXiv preprint arXiv:2005.10636	Michihiro Yasunaga and Percy Liang	Graph-based, Self-Supervised Program Repair from Diagnostic Feedback	2020	NOT_FOUND
IEEE Transactions on Software Engineering	Wang Yu, Fengjuan Gao, Linzhang Wang, Tingting Yu, Jianhua Zhao, and Xuandong Li	Automatic Detection, Validation and Repair of Race Conditions in Interrupt-Driven Embedded Software	2020	NOT_FOUND
ACM Trans. Softw. Eng. Methodol.	Yuan Yuan and Wolfgang Banzhaf	Toward Better Evolutionary Program Repair: An Integrated Approach	2020	10.1145/3360004
2020 IEEE 27th International Conference on Software Analysis, Evolution and Reengineering (SANER)	Yuyao Zhang, Siqi Ma, Juanru Li, Kailai Li, Surya Nepal, and Dawu Gu	Smartshield: Automatic smart contract protection made easy	2020	NOT_FOUND
arXiv preprint arXiv:2104.14671	Toufique Ahmed, Noah Rose Ledesma, and Premkumar Devanbu	SYNFIX:Automatically Fixing Syntax Errors using Compiler Diagnostics	2021	NOT_FOUND
arXiv preprint arXiv:2105.12787	Miltiadis Allamanis, Henry Jackson-Flux, and Marc Brockschmidt	Self-Supervised Bug Detection and Repair	2021	NOT_FOUND
2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE)	Ali S Alotaibi, Paul T Chiou, and William GJ Halfond	Automated Repair of Size-Based Inaccessibility Issues in Mobile Applications	2021	10.1109/ase51524.2021.9678625
2021 IEEE 21st International Conference on Software Quality, Reliability and Security (QRS)	Omar I Al-Bataineh, Anastasiia Grishina, and Leon Moonen	Towards More Reliable Automated Program Repair by Integrating Static Analysis Techniques	2021	10.1109/qrs54544.2021.00075
IEEE Software	Benoit Baudry, Zimin Chen, Khashayar Etemadi, Han Fu, Davide Ginelli, Steve Kommrusch, Matias Martinez, Martin Monperrus, Javier Ron Arteaga, He Ye, et al	A Software-Repair Robot Based on Continual Learning	2021	10.1109/ms.2021.3070743
arXiv preprint arXiv:2104.04611	Samuel Benton, Mengshi Zhang, Xia Li, and Lingming Zhang	Self-Boosted Automated Program Repair	2021	NOT_FOUND
International Conference on Machine Learning. PMLR	Berkay Berabi, Jingxuan He, Veselin Raychev, and Martin Vechev	TFix: Learning to Fix Coding Errors with a Text-to-Text Transformer	2021	NOT_FOUND
arXiv preprint arXiv:2107.08038	Dirk Beyer, Lars Grunske, Thomas Lemberger, and Minxing Tang	Towards a Benchmark Set for Program Repair Based on Partial Fixes	2021	NOT_FOUND
2021 14th IEEE Conference on Software Testing, Verification and Validation (ICST)	Diogo Campos, André Restivo, Hugo Sereno Ferreira, and Afonso Ramos	Automatic Program Repair as Semantic Suggestions: An Empirical Study	2021	10.1109/icst49551.2021.00032
PhD thesis. Hong Kong Polytechnic University	Liushan Chen	Effective automatic program repair based on state abstraction	2021	NOT_FOUND
Advances in Neural Information Processing Systems	Zimin Chen, Vincent J Hellendoorn, Pascal Lamblin, Petros Maniatis, Pierre-Antoine Manzagol, Daniel Tarlow, and Subhodeep Moitra	PLUR: A unifying, graph-based view of program learning, understanding, and repair	2021	NOT_FOUND
Tech. rep. 2104.08308. arXiv	Zimin Chen, Steve Kommrusch, and Martin Monperrus	Neural Transfer Learning for Repairing Security Vulnerabilities in C Code	2021	NOT_FOUND
2021 IEEE 32nd International Symposium on Software Reliability Engineering (ISSRE)	Thanh Le-Cong, Xuan Bach D Le, Quyet Thang Huynh, and Phi Le Nguyen	Usability and Aesthetics: Better Together for Automated Repair of Web Pages	2021	10.1109/issre52982.2021.00029
arXiv preprint arXiv:2108.02490	Andreea Costea, Abhishek Tiwari, Sigmund Chianasta, Abhik Roychoudhury, Ilya Sergey, et al	HIPPODROME: Data Race Repair using Static Analysis Summaries	2021	NOT_FOUND
arXiv preprint arXiv:2103.16846	Viktor Csuvik, Déniel Horvéth, Mérk Lajkó, and Lészló Vidécs	Exploring Plausible Patches Using Source Code Embeddings in JavaScript	2021	10.1109/apr52552.2021.00010
Tech. rep. 2103.12033. arXiv	Khashayar Etemadi, Nicolas Harrand, Simon Larsen, Haris Adzemovic, Henry Luong Phu, Ashutosh Verma, Fernanda Madeiral, Douglas Wikstrom, and Martin Monperrus	Sorald: Automatic Patch Suggestions for SonarQube Static Analysis Violations	2021	NOT_FOUND
PhD thesis. National University of Singapore	Xiang Gao	Overfitting in Program Repair and Synthesis	2021	NOT_FOUND
Proc. ACM Program. Lang.	Xiang Gao, Arjun Radhakrishna, Gustavo Soares, Ridwan Shariffdeen, Sumit Gulwani, and Abhik Roychoudhury	APIfix: output-oriented program synthesis for combating breaking changes in libraries	2021	10.1145/3485538
ACM Transactions on Software Engineering and Methodology (TOSEM)	Xiang Gao, Bo Wang, Gregory J Duck, Ruyi Ji, Yingfei Xiong, and Abhik Roychoudhury	Beyond Tests: Program Vulnerability Repair via Crash Constraint Extraction	2021	10.1145/3418461
arXiv preprint arXiv:2110.04101	Jingzhu He, Ting Dai, and Xiaohui Gu	TFix+: Self-configuring Hybrid Timeout Bug Fixing for Cloud Systems	2021	NOT_FOUND
2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE)	Jordan Henkel, Denini Silva, Leopoldo Teixeira, Marcelo dAmorim, and Thomas Reps	Shipwright: A Human-in-the-Loop System for Dockerfile Repair	2021	10.1109/icse43902.2021.00106
Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing	Haiwen Hong, Jingfeng Zhang, Yin Zhang, Yao Wan, and Yulei Sui	Fix-Filter-Fix: Intuitively Connect Any Models for Effective Bug Fixing	2021	10.18653/v1/2021.emnlp-main.282
2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE)	Nan Jiang, Thibaud Lutellier, and Lin Tan	CURE: Code-Aware Neural Machine Translation for Automatic Program Repair	2021	10.1109/icse43902.2021.00107
IEEE Transactions on Software Engineering	Hai Jin, Zeli Wang, Ming Wen, Weiqi Dai, Yu Zhu, and Deqing Zou	Aroc: An Automatic Repair Framework for On-chain Smart Contracts	2021	NOT_FOUND
IEEE Transactions on Software Engineering	Maria Kechagia, Sergey Mechtaev, Federica Sarro, and Mark Harman	Evaluating Automatic Program Repair Capabilities to Repair API Misuses	2021	NOT_FOUND
IEEE Software	Serkan Kirbas, Etienne Windels, Olayori McBello, Kevin Kells, Matthew Pagano, Rafal Szalanski, Vesna Nowack, Emily Rowan Winter, Steve Counsell, David Bowes, et al	On the introduction of automatic program repair in Bloomberg	2021	10.1109/ms.2021.3071086
2021 IEEE/ACM International Workshop on Automated Program Repair (APR)	William Klieber, Ruben Martins, Ryan Steele, Matt Churilla, Mike McCall, and David Svoboda	Automated Code Repair to Ensure Spatial Memory Safety	2021	10.1109/apr52552.2021.00013
Journal of Systems and Software	Roland Kretschmer, Djamel Eddine Khelladi, and Alexander Egyed	Transforming abstract to concrete repairs with a generative approach of repair values	2021	10.1016/j.jss.2020.110889
2021 IEEE 32nd International Symposium on Software Reliability Engineering (ISSRE)	Xuan-Bach D Le and Quang Loc Le	ReFixar: Multi-version Reasoning for Automated Repair of Regression Errors	2021	10.1109/issre52982.2021.00028
2021 36th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW)	Rui Lima, Joao F Ferreira, and Alexandra Mendes	Automatic Repair of Java Code with Timing Side-Channel Vulnerabilities	2021	10.1109/asew52652.2021.00014
Journal of Systems and Software	Kui Liu, Li Li, Anil Koyuncu, Dongsun Kim, Zhe Liu, Jacques Klein, and Tegawendé F Bissyandé	A critical review on the evaluation of automated program repair systems	2021	10.1016/j.jss.2020.110817
arXiv preprint arXiv:2105.07311	Yiling Lou, Samuel Benton, Dan Hao, Lu Zhang, and Lingming Zhang	How Does Regression Test Selection Affect Program Repair? An Extensive Study on 2 Million Patches	2021	NOT_FOUND
arXiv preprint arXiv:2107.06550	Yunlong Lu, Na Meng, and Wenxin Li	FAPR: Fast and Accurate Program Repair for Introductory Programming Courses	2021	NOT_FOUND
2021 IEEE/ACM International Workshop on Genetic Improvement (GI)	Ibrahim Mesecan, Michael C Gerten, James I Lathrop, Myra B Cohen, and Tomas Haddad Caldas	CRNRepair: Automated Program Repair of Chemical Reaction Networks	2021	10.1109/gi52543.2021.00014
2021 IEEE Symposium on Security and Privacy (SP)	Tai D Nguyen, Long H Pham, and Jun Sun	SGUARD: Towards Fixing Vulnerable Smart Contracts Automatically	2021	10.1109/sp40001.2021.00057
Proceedings of VMCAI	Thanh-Toan Nguyen, Quang-Trung Ta, Ilya Sergey, and Wei-Ngan Chin	Automated Repair of Heap-Manipulating Programs using Deductive Synthesis	2021	10.1007/978-3-030-67067-2_17
2021 IEEE 32th International Symposium on Software Reliability Engineering (ISSRE)(In Press)	Amirfarhad Nilizadeh, Marlon Calvo, Gary T Leavens, and Xuan-Bach D Le	More Reliable Test Suites for Dynamic APR by using Counterexamples	2021	10.1109/issre52982.2021.00032
2021 14th IEEE Conference on Software Testing, Verification and Validation (ICST)	Amirfarhad Nilizadeh, Gary T Leavens, Xuan-Bach D Le, Corina S Psreanu, and David R Cok	Exploring true test overfitting in dynamic automated program repair using formal methods	2021	10.1109/icst49551.2021.00033
arXiv preprint arXiv:2108.13064	Yannic Noller, Ridwan Shariffdeen, Xiang Gao, and Abhik Roychoudhury	How to trust auto-generated code patches? A developer survey and empirical assessment of existing program repair tools	2021	NOT_FOUND
2021 IEEE 32nd International Symposium on Software Reliability Engineering (ISSRE)	Vesna Nowack, David Bowes, Steve Counsell, Tracy Hall, Saemundur Haraldsson, Emily Winter, and John Woodward	Expanding Fix Patterns to Enable Automatic Program Repair	2021	10.1109/issre52982.2021.00015
IEEE Transactions on Software Engineering	Nikhil Parasaram, Earl T Barr, and Sergey Mechtaev	Trident: Controlling Side Effects in Automated Program Repair	2021	10.1109/tse.2021.3124323
2021 IEEE 32nd International Symposium on Software Reliability Engineering (ISSRE)	Eduard Pinconschi, Rui Abreu, and Pedro Adão	A Comparative Study of Automatic Program Repair Techniques for Security Vulnerabilities	2021	10.1109/issre52982.2021.00031
2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)	Kai Presler-Marshall, Sarah Heckman, and Kathryn T Stolee	SQLRepair: Identifying and Repairing Mistakes in Student-Authored SQL Queries	2021	10.1109/icse-seet52601.2021.00030
2021 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)	Yihao Qin, Shangwen Wang, Kui Liu, Xiaoguang Mao, and Tegawendé F Bissyandé	On the Impact of Flaky Tests in Automated Program Repair	2021	10.1109/saner50967.2021.00035
Proceedings of the 42nd ACM SIGPLAN International Conference on Programming Language Design and Implementation	Kia Rahmani, Kartik Nagar, Benjamin Delaware, and Suresh Jagannathan	Repairing serializability bugs in distributed database programs via automated schema refactoring	2021	10.1145/3453483.3454028
2021 IEEE International Parallel and Distributed Processing Symposium (IPDPS)	Joseph Renzullo, Westley Weimer, and Stephanie Forrest	Multiplicative Weights Algorithms for Parallel Automated Software Repair	2021	10.1109/ipdps49936.2021.00107
30th USENIX Security Symposium (USENIX Security 21)	Michael Rodler, Wenting Li, Ghassan O Karame, and Lucas Davi	EVMPatch: Timely and Automated Patching of Ethereum Smart Contracts	2021	NOT_FOUND
Proceedings of the 42nd ACM SIGPLAN International Conference on Programming Language Design and Implementation	Ridwan Shariffdeen, Yannic Noller, Lars Grunske, and Abhik Roychoudhury	Concolic program repair	2021	10.1145/3453483.3454051
Tech. rep. 2111.12513. arXiv	André Silva, Matias Martinez, Benjamin Danglot, Davide Ginelli, and Martin Monperrus	FLACOCO: Fault Localization for Java based on Industry-grade Coverage	2021	NOT_FOUND
2021 IEEE 21st International Conference on Software Quality, Reliability and Security (QRS)	Ben Tang, Bin Li, Lili Bo, Xiaoxue Wu, Sicong Cao, and Xiaobing Sun	GrasP: Graph-to-Sequence Learning for Automated Program Repair	2021	10.1109/qrs54544.2021.00091
Findings of the Association for Computational Linguistics: ACL-IJCNLP 2021	Yu Tang, Long Zhou, Ambrosio Blanco, Shujie Liu, Furu Wei, Ming Zhou, and Muyun Yang	Grammar-Based Patches Generation for Automated Program Repair	2021	10.18653/v1/2021.findings-acl.111
IEEE Software	Leonardo Trujillo, Omar M Villanueva, and Daniel Eduardo Hernandez	A novel approach for search-based program repair	2021	10.1109/ms.2021.3070552
2021 ACM/IEEE 24th International Conference on Model Driven Engineering Languages and Systems (MODELS)	Zahra VaraminyBahnemiry, Jessie Galasso, Khalid Belharbi, and Houari Sahraoui	Automated Patch Generation for Fixing Semantic Errors in ATL Transformation Rules	2021	10.1109/models50736.2021.00011
Proceedings of the 29th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Chu-Pan Wong, Priscila Santiesteban, Christian Kästner, and Claire Le Goues	VarFix: balancing edit expressiveness and search effectiveness in automated program repair	2021	10.1145/3468264.3468600
2021 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)	Deheng Yang, Yan Lei, Xiaoguang Mao, David Lo, Huan Xie, and Meng Yan	Is the Ground Truth Really Accurate? Dataset Purification for Automated Program Repair	2021	10.1109/saner50967.2021.00018
Empirical Software Engineering	Deheng Yang, Kui Liu, Dongsun Kim, Anil Koyuncu, Kisub Kim, Haoye Tian, Yan Lei, Xiaoguang Mao, Jacques Klein, and Tegawendé F Bissyandé	Where were the repair ingredients for Defects4j bugs?	2021	10.1007/s10664-021-10003-7
arXiv preprint arXiv:2106.06600	Michihiro Yasunaga and Percy Liang	Break-It-Fix-It: Unsupervised Learning for Program Repair	2021	NOT_FOUND
IEEE Transactions on Software Engineering	He Ye, Jian Gu, Matias Martinez, Thomas Durieux, and Martin Monperrus	Automated Classification of Overfitting Patches with Statically Extracted Code Features	2021	NOT_FOUND
Empirical Software Engineering	He Ye, Matias Martinez, and Martin Monperrus	Automated Patch Assessment for Program Repair at Scale	2021	10.1007/s10664-020-09920-w
arXiv preprint arXiv:2105.04123	He Ye, Matias Martinez, and Martin Monperrus	Neural Program Repair with Execution-based Backpropagation	2021	NOT_FOUND
Proceedings of ICSME	Jingtang Zhang, Kui Liu, Dongsun Kim, Li Li, Zhe Liu, Jacques Klein, and Tegawendé Bissyandé	Revisiting Test Cases to Boost Generate-and-Validate Program Repair	2021	10.26226/morressier.613b5418842293c031b5b5e6
Proceedings of the 29th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Qihao Zhu, Zeyu Sun, Yuan-an Xiao, Wenjie Zhang, Kang Yuan, Yingfei Xiong, and Lu Zhang	A Syntax-Guided Edit Decoder for Neural Program Repair	2021	10.1145/3468264.3468544
Parallel Problem Solving from Nature-PPSN XVII: 17th International Conference, PPSN 2022, Dortmund, Germany, September 10-14, 2022, Proceedings, Part II. Springer	Hammad Ahmad, Padriac Cashin, Stephanie Forrest, and Westley Weimer	Digging into Semantics: Where do search-based software repair methods search?	2022	NOT_FOUND
Proceedings of the 27th ACM International Conference on Architectural Support for Programming Languages and Operating Systems	Hammad Ahmad, Yu Huang, and Westley Weimer	CirFix: Automatically Repairing Defects in Hardware Design Code	2022	10.1145/3503222.3507763
IEEE Transactions on Software Engineering	Toufique Ahmed, Noah Rose Ledesma, and Premkumar Devanbu	SYNSHINE: improved fixing of Syntax Errors	2022	NOT_FOUND
arXiv preprint arXiv:2211.03911	Omar I Al-Bataineh and Leon Moonen	Towards Extending the Range of Bugs That Automated Program Repair Can Handle	2022	10.1109/qrs57517.2022.00031
arXiv preprint arXiv:2207.11765	Rohan Bavishi, Harshit Joshi, José Pablo Cambronero Sénchez, Anna Fariha, Sumit Gulwani, Vu Le, Ivan Radicek, and Ashish Tiwari	Neurosymbolic repair for low-code formula languages	2022	10.1145/3563327
2022 IEEE/ACM International Workshop on Automated Program Repair (APR)	Gareth Bennett, Tracy Hall, and David Bowes	Some Automatically Generated Patches are More Likely to be Correct than Others: An Analysis of Defects4J Patch Features	2022	10.1145/3524459.3527348
2022 IEEE/ACM 44th International Conference on Software Engineering (ICSE)	Samuel Benton, Yuntong Xie, Lan Lu, Mengshi Zhang, Xia Li, and Lingming Zhang	Towards boosting patch execution on-the-fly	2022	10.1145/3510003.3510117
2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR)	Quang-Cuong Bui, Riccardo Scandariato, and Nicolas Díaz-Ferreyra Ferreyra	Vul4J: A Dataset of Reproducible Java Vulnerabilities Geared Towards the Study of Program Repair Techniques	2022	10.1145/3524842.3528482
IEEE Transactions on Software Engineering	Liushan Chen, Yu Pei, Minxue Pan, Tian Zhang, Qixin Wang, and Carlo Alberto Furia	Program Repair with Repeated Learning	2022	NOT_FOUND
Proceedings of the 29th IEEE International Conference on Software Analysis, Evolution and Reengineering	Aidan Connor, Aaron Harris, Nathan Cooper, and Denys Poshyvanyk	Can We Automatically Fix Bugs by Learning Edit Operations?	2022	10.1109/saner53432.2022.00096
PhD thesis. University of California San Diego	Benjamin Cosman	PABLO and PYRITE: Helping Novices Debug Python Code Through Data-Driven Fault Localization and Repair	2022	NOT_FOUND
Journal of Systems and Software	Khashayar Etemadi, Niloofar Tarighat, Siddharth Yadav, Matias Martinez, and Martin Monperrus	Estimating the potential of program repair search spaces with commit analysis	2022	10.1016/j.jss.2022.111263
International Symposium on Research in Attacks, Intrusions and Defenses	Christof Ferreira Torres, Hugo Jonker, et al	Elysium: Context-Aware Bytecode-Level Patching to Automatically Heal Vulnerable Smart Contracts	2022	10.1145/3545948.3545975
2022 IEEE/ACM International Workshop on Automated Program Repair (APR)	Alcides Fonseca and Méximo Oliveira	Figra: Evaluating a larger search space for Cardumen in Automatic Program Repair	2022	10.1145/3524459.3527345
Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Michael Fu, Chakkrit Tantithamthavorn, Trung Le, Van Nguyen, and Dinh Phung	VulRepair: a T5-based automated software vulnerability repair	2022	10.1145/3540250.3549098
arXiv preprint arXiv:2211.12787	Xiang Gao, Yannic Noller, and Abhik Roychoudhury	Program Repair	2022	NOT_FOUND
Proceedings of the 31st ACM SIGSOFT International Symposium on Software Testing and Analysis	Ali Ghanbari and Andrian Marcus	Patch correctness assessment in automated program repair based on the impact of patches on production and test code	2022	10.1145/3533767.3534368
arXiv preprint arXiv:2201.00736	Davide Ginelli, Oliviero Riganelli, Daniela Micucci, and Leonardo Mariani	Exception-Driven Fault Localization for Automated Program Repair	2022	NOT_FOUND
Proceedings of the 44th International Conference on Software Engineering	Matthías Péll Gissurarson, Leonhard Applis, Annibale Panichella, Arie van Deursen, and David Sands	PropR: property-based automatic program repair	2022	NOT_FOUND
37th IEEE/ACM International Conference on Automated Software Engineering	Simón Gutiérrez Brida, Germén Regis, Guolong Zheng, Hamid Bagheri, Thanhvu Nguyen, Nazareno Aguirre, and Marcelo Frias	ICEBAR: Feedback-Driven Iterative Repair of Alloy Specifications	2022	NOT_FOUND
arXiv preprint arXiv:2204.06643	Yaojie Hu, Xingjian Shi, Qiang Zhou, and Lee Pike	Fix Bugs with Transformer through a Neural-Symbolic Edit Grammar	2022	NOT_FOUND
Information and Software Technology	Faria Huq, Masum Hasan, Md Mahim Anjum Haque, Sazan Mahbub, Anindya Iqbal, and Toufique Ahmed	Review4Repair: Code review aided automatic program repairing	2022	NOT_FOUND
Proceedings of the 37th ACM/SIGAPP Symposium on Applied Computing	Suhwan Ji, Sang-Min Choi, Sang-Ki Ko, Dohyung Kim, and Hyeonseung Im	RepCoder: an automated program repair framework for probability-based program synthesis	2022	10.1145/3477314.3507083
Repair Is Nearly Generation: Multilingual Program Repair with LLMs	Harshit Joshi, José Cambronero, Sumit Gulwani, Vu Le, Ivan Radicek, and Gust Verbruggen	Repair Is Nearly Generation: Multilingual Program Repair with LLMs	2022	NOT_FOUND
arXiv preprint arXiv:2204.06771	Sungmin Kang and Shin Yoo	GLAD: Neural Predicate Synthesis to Repair Omission Faults	2022	NOT_FOUND
2022 IEEE Symposium on Security and Privacy (SP)	Hyungsub Kim, Muslum Ozgur Ozmen, Z Berkay Celik, Antonio Bianchi, and Dongyan Xu	PGPATCH: Policy-Guided Logic Bug Patching for Robotic Vehicles	2022	10.1109/sp46214.2022.9833567
Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Misoo Kim, Youngkyoung Kim, Hohyeon Jeong, Jinseok Heo, Sungoh Kim, Hyunhee Chung, and Eunseok Lee	An empirical study of deep transfer learning-based program repair for Kotlin projects	2022	NOT_FOUND
Proceedings of the Third International Workshop on Automated Program Repair	Mérk Lajkó, Viktor Csuvik, and Lészló Vidécs	Towards JavaScript program repair with generative pre-trained transformer (GPT-2)	2022	10.1145/3524459.3527350
Computational Science and Its Applications-ICCSA 2022 Workshops: Malaga, Spain, July 4-7, 2022, Proceedings, Part IV. Springer	Mérk Lajkó, Déniel Horvéth, Viktor Csuvik, and Lészló Vidécs	Fine-tuning GPT-2 to patch programs, is it worth it?	2022	NOT_FOUND
IEEE International Conference on Software Engineering	Junhee Lee, Seongjoon Hong, and Hakjoo Oh	NPEX: Repairing Java Null Pointer Exceptions without Tests	2022	10.1145/3510003.3510186
arXiv preprint arXiv:2210.03986	Xueyang Li, Shangqing Liu, Ruitao Feng, Guozhu Meng, Xiaofei Xie, Kai Chen, and Yang Liu	TransRepair: Context-aware Program Repair for Compilation Errors	2022	10.1145/3551349.3560422
arXiv preprint arXiv:2205.01859	Yi Li, Shaohua Wang, and Tien N Nguyen	DEAR: A Novel Deep Learning-based Approach for Automated Program Repair	2022	10.1145/3510003.3510177
ACM Transactions on Software Engineering and Methodology (TOSEM)	Bo Lin, Shangwen Wang, Ming Wen, and Xiaoguang Mao	Context-aware code change embedding for better patch correctness assessment	2022	10.1145/3505247
Empirical Software Engineering, Springer	Benjamin Loriot, Fernanda Madeiral, and Martin Monperrus	Styler: learning formatting conventions to repair Checkstyle violations	2022	10.1007/s10664-021-10107-0
2022 IEEE Conference on Software Testing, Verification and Validation (ICST)	Sonal Mahajan and Mukul R Prasad	Providing Real-time Assistance for Repairing Runtime Exceptions using Stack Overflow Posts	2022	10.1109/icst53961.2022.00030
